Major,Total,Employed_full_time_year_round,Unemployment_rate,Median
INTERCULTURAL AND INTERNATIONAL STUDIES,56580,27499,0.074330127,45000
NUTRITION SCIENCES,64534,28112,0.06321655,49500
MATHEMATICS AND COMPUTER SCIENCE,7184,5039,0.024900398,92000
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,6898,3639,0.048872827,53000
INTERDISCIPLINARY SOCIAL SCIENCES,61871,31078,0.065383453,45000
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,350409,204242,0.046902999,44000
PHILOSOPHY AND RELIGIOUS STUDIES,205763,95429,0.075020335,45000
THEOLOGY AND RELIGIOUS VOCATIONS,232865,121606,0.042505112,40000
PHYSICAL SCIENCES,8856,4961,0.038952537,60000
ASTRONOMY AND ASTROPHYSICS,4700,2447,0.086021505,80000
ATMOSPHERIC SCIENCES AND METEOROLOGY,14051,9098,0.036726308,60000
CHEMISTRY,308062,153308,0.054728624,59000
GEOLOGY AND EARTH SCIENCE,107902,59262,0.065110535,65000
GEOSCIENCES,8267,5020,0.042792441,57000
OCEANOGRAPHY,10741,6508,0.053895091,55000
PHYSICS,122620,60812,0.052090055,70000
MATERIALS SCIENCE,7208,4505,0.022333333,75000
MULTI-DISCIPLINARY OR GENERAL SCIENCE,427953,238933,0.045231124,56000
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",12166,7238,0.069857949,62000
PSYCHOLOGY,1484075,736817,0.069666584,45000
EDUCATIONAL PSYCHOLOGY,14041,5763,0.07563114,40000
CLINICAL PSYCHOLOGY,7638,3297,0.102712161,45000
COUNSELING PSYCHOLOGY,17633,8888,0.06802139,39000
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,17969,8631,0.08362907,62000
SOCIAL PSYCHOLOGY,10871,5226,0.087336245,47000
MISCELLANEOUS PSYCHOLOGY,34102,15688,0.082009364,45000
CRIMINAL JUSTICE AND FIRE PROTECTION,757141,517599,0.054035589,50000
PUBLIC ADMINISTRATION,54636,31262,0.069654918,56000
PUBLIC POLICY,14782,8196,0.079216917,60000
HUMAN SERVICES AND COMMUNITY ORGANIZATION,81786,44959,0.072421294,38000
SOCIAL WORK,319163,164020,0.059375901,40000
GENERAL SOCIAL SCIENCES,127363,57036,0.071056931,50000
ECONOMICS,757616,430580,0.061312717,69000
ANTHROPOLOGY AND ARCHEOLOGY,143087,66046,0.078175778,43000
CRIMINOLOGY,75085,48763,0.06451917,49000
GEOGRAPHY,115423,63070,0.06900849,54000
INTERNATIONAL RELATIONS,77371,42091,0.07031327,55000
POLITICAL SCIENCE AND GOVERNMENT,748956,421761,0.069373855,58000
SOCIOLOGY,674558,336515,0.065804304,47000
MISCELLANEOUS SOCIAL SCIENCES,15882,9444,0.054398771,52000
CONSTRUCTION SERVICES,92346,65916,0.051097081,65000
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",15726,10453,0.052033988,48000
TRANSPORTATION SCIENCES AND TECHNOLOGIES,126639,83519,0.047263682,67000
FINE ARTS,571961,256747,0.071753268,45000
DRAMA AND THEATER ARTS,174817,81519,0.08027373,42000
MUSIC,276262,116142,0.054719193,45000
VISUAL AND PERFORMING ARTS,55141,23479,0.094658002,40000
